michigan-state,
 Opponent, PointsPerPos Scored, OppPos Allowed, Opp Pos 
kansas,1.0225669957686883,92.0,81.288,87.0,85.08
florida-gulf-coast,1.3156588223612353,82.0,79.512,106.0,80.568
louisiana-monroe,1.1502185415228892,59.0,68.03999999999999,80.0,69.552
tennessee-tech,1.4501493223064554,33.0,66.504,101.0,69.648
ucla,1.215627095908786,67.0,71.32799999999999,87.0,71.568
texas,1.135569531795947,68.0,71.06400000000001,78.0,68.68799999999999
louisville,1.0701350016463618,82.0,77.25599999999999,78.0,72.88799999999999
rutgers,1.252408477842004,67.0,64.89599999999999,78.0,62.28
iowa,1.3354700854700856,68.0,71.28,90.0,67.392
florida,1.097408026755853,59.0,61.152,63.0,57.407999999999994
green-bay,1.240221331806907,83.0,82.67999999999999,104.0,83.856
oakland,1.4586280056577086,69.0,68.928,99.0,67.872
northern-illinois,1.2399954909254878,60.0,71.80799999999999,88.0,70.96799999999999
northwestern,1.2032085561497328,55.0,69.792,81.0,67.32
ohio-state,1.2875793508204576,77.0,66.216,86.0,66.792
purdue,1.2148176195885396,59.0,62.832,77.0,63.384
penn-state,1.087222834742129,56.0,67.92,71.0,65.304
nebraska,1.079447322970639,64.0,70.104,70.0,64.848
maryland,1.1368129695531832,55.0,60.792,69.0,60.69599999999999
iowa,1.294682329165088,67.0,66.048,82.0,63.33599999999999
purdue,0.9924385633270322,73.0,63.48,63.0,63.48
indiana,1.0783298826777086,79.0,74.904,75.0,69.552
illinois,1.0724637681159421,79.0,69.552,74.0,69.0
minnesota,1.2544461382113823,55.0,63.288,79.0,62.97599999999999
wisconsin,1.0381802404859306,59.0,64.032,67.0,64.53599999999999
ohio-state,1.0138670852956566,44.0,65.544,62.0,61.152
rutgers,1.1299974535268653,60.0,63.432,71.0,62.832
michigan,1.3095238095238095,70.0,63.839999999999996,77.0,58.8
indiana,1.087719298245614,63.0,60.647999999999996,62.0,57.0
nebraska,1.392459297343616,76.0,68.544,91.0,65.352
