saint-francis-pa,67,66,15,15,20,78
buffalo,82,70,20,14,11,78
san-francisco,76,61,12,10,12,79
california-davis,42,51,12,5,18,79
seattle,74,64,21,11,10,80
stanford,96,56,33,7,13,80
siena,67,51,13,8,12,81
providence,77,53,7,10,13,81
south-carolina-upstate,52,58,10,6,20,82
south-carolina,65,58,37,17,19,82
southeast-missouri-state,65,58,10,5,16,83
saint-louis,75,54,33,8,14,83
southern,62,55,30,7,15,84
alabama,82,55,28,16,20,84
stony-brook,77,70,27,14,11,85
george-washington,74,55,34,9,14,85
tennessee-tech,61,52,29,12,26,86
memphis,76,74,11,12,14,86
texas-southern,72,52,21,11,18,87
baylor,69,67,11,21,19,87
utah-state,101,69,26,14,12,88
montana-state,71,53,33,4,13,88
wagner,49,56,10,10,16,89
seton-hall,89,58,25,11,7,89
weber-state,66,61,8,7,15,90
san-diego,83,65,18,12,8,90
western-illinois,67,69,9,10,11,91
creighton,78,63,20,9,12,91
winthrop,79,68,24,11,13,92
vanderbilt,92,63,20,5,11,92
youngstown-state,53,67,14,15,19,93
pittsburgh,69,55,22,10,16,93
cal-state-bakersfield,61,58,14,5,9,94
texas-christian,66,50,27,5,13,94
bethune-cookman,58,62,13,15,14,95
depaul,80,57,30,15,13,95
bucknell,88,58,36,9,14,96
st-bonaventure,85,60,31,7,12,96
high-point,69,60,19,11,13,97
william-mary,79,55,23,8,14,97
houston-baptist,60,69,27,16,12,98
arizona,90,57,36,12,13,98
lafayette,86,66,19,10,15,99
saint-peters,93,71,22,14,10,99
marshall,105,76,32,13,16,100
eastern-kentucky,77,80,36,21,17,100
mcneese-state,65,59,12,11,13,101
saint-marys-ca,87,60,13,8,5,101
north-florida,70,57,14,3,9,102
dayton,78,60,27,9,5,102
ohio-state,64,47,22,6,13,103
cincinnati,56,62,21,12,10,103
savannah-state,83,82,19,10,20,104
texas-am,98,81,26,19,24,104
western-carolina,73,63,20,9,16,105
wright-state,96,58,28,5,14,105
alabama-state,61,53,17,6,9,106
south-dakota-state,78,53,25,11,11,106
chicago-state,62,47,23,5,12,107
notre-dame,89,71,19,17,6,107
evansville,60,53,22,6,24,108
illinois,99,71,14,10,14,108
maine,61,55,12,3,12,109
utah,75,55,19,9,14,109
missouri-kansas-city,63,64,12,9,9,110
iowa,77,47,38,7,16,110
morehead-state,70,62,15,10,17,111
connecticut,80,64,17,7,11,111
new-orleans,52,49,22,6,15,112
northwestern,82,60,26,14,8,112
nicholls-state,72,63,16,7,12,113
louisville,85,40,55,5,13,113
northwestern-state,58,46,24,7,17,114
southern-methodist,69,65,16,17,13,114
siena,69,63,11,13,6,115
george-washington,61,54,13,8,7,115
southern-illinois,59,56,12,6,13,116
kentucky,71,54,27,18,19,116
louisiana-lafayette,65,63,14,8,12,117
tennessee,87,63,12,10,11,117
pacific,61,60,14,6,9,118
nevada,83,56,27,9,7,118
north-carolina,116,87,27,21,11,119
elon,67,59,28,7,19,119
washington,66,45,17,3,18,120
auburn,88,70,23,17,11,120
kennesaw-state,41,52,5,7,20,121
kansas-state,56,60,11,13,16,121
buffalo,99,80,32,17,11,122
west-virginia,94,66,35,14,19,122
eastern-washington,47,65,6,8,8,123
oregon,81,61,17,12,7,123
gardner-webb,59,45,21,2,29,124
virginia-tech,87,63,19,9,20,124
austin-peay,67,59,26,14,18,125
mississippi-state,95,64,18,6,12,125
long-beach-state,80,63,24,8,15,126
ucla,91,64,30,8,15,126
north-carolina-central,51,55,15,9,20,127
clemson,71,49,21,5,11,127
north-carolina-greensboro,91,60,9,2,14,128
louisiana-state,97,54,31,8,16,128
air-force,57,46,15,5,16,129
texas-state,67,51,18,4,8,129
albany-ny,68,58,16,12,22,130
iona,72,57,25,8,13,130
american,78,66,18,8,11,131
george-mason,75,65,24,14,15,131
arkansas,71,61,24,10,18,132
texas,73,67,30,14,14,132
arkansas-state,73,59,24,9,16,133
abilene-christian,94,55,31,11,18,133
bowling-green-state,80,50,28,5,20,134
st-johns-ny,84,65,24,5,8,134
brown,81,56,31,6,15,135
long-island-university,83,67,36,11,15,135
california-irvine,74,55,15,9,14,136
texas-am,73,66,26,16,10,136
charleston-southern,46,55,19,7,18,137
florida,76,56,22,4,7,137
chicago-state,60,56,31,12,22,138
central-michigan,101,73,28,14,8,138
coastal-carolina,85,46,34,5,15,139
campbell,75,54,35,8,11,139
dartmouth,76,56,10,2,9,140
davidson,79,65,17,8,7,140
detroit-mercy,67,52,13,6,19,141
temple,83,62,20,14,16,141
drexel,62,57,10,8,12,142
eastern-michigan,66,57,15,7,9,142
fairleigh-dickinson,55,63,13,12,20,143
rutgers,90,65,17,15,17,143
furman,60,55,17,4,16,144
loyola-il,58,54,25,6,13,144
georgia-state,74,72,24,18,12,145
montana,81,55,43,8,14,145
hampton,57,62,24,12,17,146
virginia-commonwealth,69,54,31,4,16,146
hartford,73,64,20,9,12,147
utah-state,100,70,20,15,15,147
illinois-chicago,78,56,11,3,13,148
radford,88,61,25,9,8,148
indiana-state,78,57,35,6,15,149
green-bay,74,64,33,11,13,149
jacksonville-state,72,57,35,10,18,150
samford,92,51,35,4,19,150
james-madison,73,47,37,7,25,151
east-carolina,72,51,26,4,22,151
lamar,69,60,33,10,18,152
georgia-tech,88,63,21,7,14,152
lehigh,62,61,21,11,18,153
miami-fl,83,61,32,10,11,153
longwood,63,52,13,4,20,154
richmond,58,60,16,6,14,154
maryland,78,59,27,9,10,155
navy,57,52,20,8,17,155
mcneese-state,52,47,29,7,17,156
arizona-state,80,58,27,12,10,156
mississippi-valley-state,52,54,8,5,11,157
texas-tech,84,64,21,18,9,157
missouri,59,44,17,5,25,158
iowa-state,76,51,35,5,7,158
monmouth,74,57,28,11,18,159
colgate,87,56,28,10,18,159
montana-state,35,55,10,10,23,160
indiana,80,57,19,8,14,160
morgan-state,60,60,17,10,12,161
saint-francis-pa,80,66,33,17,7,161
mount-st-marys,61,56,17,3,11,162
hofstra,79,64,18,7,8,162
new-hampshire,75,64,21,10,12,163
massachusetts,104,51,32,3,14,163
njit,74,61,23,11,9,164
binghamton,57,57,22,10,12,164
north-florida,72,64,22,9,15,165
penn-state,87,57,35,4,15,165
northeastern,81,46,22,3,15,166
harvard,71,51,14,4,13,166
northern-kentucky,88,61,27,6,12,167
northern-illinois,85,76,23,12,13,167
oklahoma,91,58,31,8,15,168
texas-pan-american,76,69,17,7,15,168
old-dominion,64,62,11,7,9,169
saint-josephs,79,54,22,3,8,169
portland,64,42,34,3,14,170
hawaii,82,66,14,11,9,170
prairie-view,81,58,22,8,9,171
santa-clara,64,57,29,18,19,171
rice,76,66,14,3,15,172
pennsylvania,92,60,28,7,15,172
robert-morris,60,61,20,11,19,173
missouri-state,74,49,28,3,17,173
san-diego,76,60,13,7,8,174
california-davis,57,53,17,5,10,174
savannah-state,76,93,3,14,18,175
georgia,110,70,32,14,22,175
stanford,72,53,29,12,16,176
north-carolina-wilmington,59,54,25,12,20,176
stony-brook,83,70,23,17,13,177
south-carolina,81,63,26,8,9,177
texas-el-paso,69,58,19,3,13,178
new-mexico-state,96,73,19,12,7,178
toledo,87,50,25,7,13,179
oakland,86,64,23,10,2,179
utah-valley,65,75,15,15,11,180
brigham-young,75,60,25,8,12,180
vermont,78,60,22,8,7,181
boston-university,72,61,15,5,11,181
virginia-military-institute,55,58,15,6,10,182
pittsburgh,94,52,18,6,16,182
wichita-state,83,60,19,12,16,183
providence,80,60,26,14,15,183
yale,76,52,25,6,19,184
california,59,51,32,7,16,184
texas-southern,67,70,18,8,15,185
gonzaga,104,71,25,13,12,185
quinnipiac,53,56,16,6,13,186
villanova,86,68,16,19,10,186
morehead-state,70,70,12,8,12,187
syracuse,84,68,30,14,14,187
holy-cross,37,52,3,4,12,188
michigan,56,50,21,6,9,188
ball-state,75,52,19,7,18,189
purdue,84,69,24,18,11,189
akron,98,64,26,9,5,190
youngstown-state,69,60,10,11,15,190
alabama-am,54,54,6,2,15,191
houston,101,61,15,8,11,191
arkansas-pine-bluff,67,58,27,11,7,192
colorado-state,92,50,30,6,8,192
bethune-cookman,59,69,22,10,14,193
marquette,92,57,22,6,21,193
california-riverside,64,47,20,4,24,194
portland-state,71,59,29,9,11,194
central-connecticut-state,78,58,16,8,16,195
georgetown,85,59,26,10,13,195
college-of-charleston,77,54,19,8,11,196
western-carolina,74,57,13,8,13,196
columbia,76,56,25,8,14,197
marist,82,57,22,10,16,197
coppin-state,46,54,15,7,21,198
dayton,76,61,18,6,11,198
delaware,78,54,25,10,23,199
saint-peters,75,69,16,11,16,199
delaware-state,47,54,18,4,20,200
grand-canyon,89,69,21,13,13,200
eastern-illinois,65,53,26,7,18,201
iupui,71,57,29,10,17,201
eastern-kentucky,81,65,24,6,13,202
chattanooga,78,53,31,4,20,202
evansville,85,59,18,3,9,203
xavier,91,62,31,18,12,203
fairfield,60,49,17,6,12,204
bucknell,58,58,22,16,14,204
fordham,72,57,12,11,17,205
houston-baptist,75,52,26,7,16,205
idaho-state,72,58,19,5,12,206
boise-state,70,62,23,11,9,206
illinois-state,89,72,7,7,11,207
belmont,100,71,17,9,10,207
jackson-state,36,62,12,14,22,208
st-bonaventure,67,55,26,10,15,208
jacksonville,82,61,16,8,17,209
northern-arizona,97,74,25,13,11,209
kent-state,83,58,38,8,12,210
cleveland-state,79,61,32,5,7,210
lafayette,77,53,23,9,17,211
la-salle,76,61,24,9,7,211
loyola-marymount,61,60,12,8,12,212
nevada-las-vegas,50,51,7,6,24,212
maine,50,54,7,6,13,213
san-francisco,93,55,23,13,13,213
maryland-eastern-shore,49,54,16,7,12,214
north-carolina-state,95,62,17,10,13,214
miami-oh,68,63,7,6,8,215
butler,90,58,17,11,11,215
north-carolina-at,78,59,19,6,9,216
wake-forest,90,56,33,16,14,216
north-dakota,63,58,14,7,14,217
milwaukee,60,67,10,7,8,217
