saint-francis-pa
Opponent,Location,gameid
detroit-mercy,-1,301
hampton,0,302
towson,-1,303
mount-st-marys,1,304
drexel,-1,305
binghamton,-1,306
maryland,-1,307
massachusetts-lowell,-1,308
north-carolina-state,-1,309
holy-cross,1,310
lehigh,-1,311
lafayette,-1,312
army,1,313
boston-university,1,314
holy-cross,-1,315
bucknell,-1,316
colgate,1,317
american,1,318
navy,-1,319
bucknell,1,320
colgate,-1,321
american,-1,322
lafayette,1,323
navy,1,324
boston-university,-1,325
army,-1,326
lehigh,1,327

st-johns-ny
Opponent,Location,gameid
loyola-md,1,328
bowling-green-state,1,329
rutgers,-1,330
california,0,331
virginia-commonwealth,0,332
maryland-eastern-shore,1,333
georgia-tech,0,334
mount-st-marys,1,335
princeton,0,336
wagner,1,337
st-francis-ny,1,338
sacred-heart,1,339
seton-hall,-1,340
marquette,1,341
georgetown,-1,342
villanova,-1,343
depaul,1,344
creighton,1,345
butler,-1,346
georgetown,1,347
creighton,-1,348
duke,-1,349
marquette,-1,350
providence,1,351
butler,1,352
villanova,0,353
providence,-1,354
seton-hall,1,355
xavier,1,356
depaul,-1,357
xavier,-1,358

marist
Opponent,Location,gameid
army,-1,359
columbia,1,360
lehigh,-1,361
stephen-f-austin,-1,362
buffalo,-1,363
dartmouth,0,364
long-island-university,0,365
stetson,-1,366
colgate,-1,367
new-hampshire,-1,368
brown,1,369
hartford,-1,370
canisius,1,371
manhattan,1,372
siena,1,373
saint-peters,-1,374
iona,-1,375
manhattan,-1,376
quinnipiac,1,377
rider,-1,378
iona,1,379
fairfield,1,380
canisius,-1,381
niagara,1,382
quinnipiac,-1,383
monmouth,-1,384
saint-peters,1,385
siena,-1,386
fairfield,-1,387
rider,1,388

army
Opponent,Location,gameid
marist,1,389
duke,-1,390
sacred-heart,0,391
massachusetts-lowell,0,392
brown,-1,393
miami-oh,-1,394
binghamton,1,395
fairfield,1,396
njit,-1,397
air-force,-1,398
fairleigh-dickinson,-1,399
niagara,1,400
bucknell,1,401
lafayette,1,402
boston-university,-1,403
loyola-md,-1,404
colgate,1,405
navy,1,406
holy-cross,1,407
lafayette,-1,408
colgate,-1,409
lehigh,1,410
holy-cross,-1,411
american,-1,412
boston-university,1,413
