saint-francis-pa
Opponent,Location,gameid
virginia,-1,2366
pepperdine,0,2367
florida-atlantic,0,2368
north-dakota-state,0,2369
loyola-md,1,2370
vermont,1,2371
george-washington,-1,2372
morgan-state,0,2373
maryland-baltimore-county,-1,2374
tulane,0,2375
la-salle,0,2376
elon,-1,2377
william-mary,-1,2378
college-of-charleston,1,2379
north-carolina-wilmington,1,2380
cornell,1,2381
james-madison,-1,2382
drexel,-1,2383
delaware,-1,2384
northeastern,1,2385
hofstra,1,2386
north-carolina-wilmington,-1,2387
college-of-charleston,-1,2388
james-madison,1,2389
delaware,1,2390
drexel,1,2391
hofstra,-1,2392
northeastern,-1,2393
william-mary,1,2394
elon,1,2395

virginia
Opponent,Location,gameid
towson,1,2396
george-washington,1,2397
coppin-state,1,2398
middle-tennessee,0,2399
dayton,0,2400
wisconsin,0,2401
maryland,-1,2402
morgan-state,1,2403
virginia-commonwealth,1,2404
south-carolina,-1,2405
william-mary,1,2406
marshall,1,2407
florida-state,1,2408
boston-college,-1,2409
clemson,-1,2410
virginia-tech,1,2411
duke,-1,2412
wake-forest,1,2413
notre-dame,-1,2414
north-carolina-state,-1,2415
miami-fl,1,2416
duke,1,2417
north-carolina,-1,2418
notre-dame,1,2419
virginia-tech,-1,2420
louisville,-1,2421
georgia-tech,1,2422
pittsburgh,1,2423
syracuse,-1,2424
louisville,1,2425

gardner-webb
Opponent,Location,gameid
virginia-commonwealth,-1,2426
virginia-tech,-1,2427
furman,-1,2428
savannah-state,-1,2429
eastern-illinois,0,2430
north-carolina-wilmington,0,2431
arkansas-state,0,2432
south-carolina-upstate,-1,2433
savannah-state,1,2434
kennesaw-state,1,2435
georgia-tech,-1,2436
wake-forest,-1,2437
campbell,-1,2438
south-carolina-upstate,1,2439
radford,-1,2440
hampton,1,2441
winthrop,-1,2442
charleston-southern,-1,2443
high-point,1,2444
north-carolina-asheville,1,2445
longwood,-1,2446
presbyterian,-1,2447
charleston-southern,1,2448
winthrop,1,2449
north-carolina-asheville,-1,2450
high-point,-1,2451
presbyterian,1,2452
longwood,1,2453

virginia-commonwealth
Opponent,Location,gameid
gardner-webb,1,2454
hampton,1,2455
bowling-green-state,1,2456
temple,0,2457
st-johns-ny,0,2458
hofstra,1,2459
old-dominion,-1,2460
iona,1,2461
texas,-1,2462
virginia,-1,2463
college-of-charleston,1,2464
wichita-state,1,2465
rider,1,2466
fordham,-1,2467
la-salle,1,2468
davidson,-1,2469
dayton,1,2470
massachusetts,1,2471
rhode-island,-1,2472
duquesne,-1,2473
george-mason,1,2474
george-washington,-1,2475
st-bonaventure,-1,2476
richmond,1,2477
dayton,-1,2478
rhode-island,1,2479
george-washington,1,2480
saint-louis,1,2481
richmond,-1,2482
george-mason,-1,2483
saint-josephs,1,2484

detroit-mercy
Opponent,Location,gameid
western-michigan,-1,2485
temple,-1,2486
butler,-1,2487
loyola-md,1,2488
bowling-green-state,0,2489
eastern-michigan,-1,2490
kent-state,1,2491
akron,-1,2492
dayton,-1,2493
toledo,-1,2494
ohio,1,2495
xavier,-1,2496
youngstown-state,-1,2497
cleveland-state,-1,2498
wright-state,1,2499
northern-kentucky,1,2500
green-bay,1,2501
milwaukee,1,2502
oakland,1,2503
illinois-chicago,-1,2504
iupui,-1,2505
cleveland-state,1,2506
youngstown-state,1,2507
northern-kentucky,-1,2508
wright-state,-1,2509
milwaukee,-1,2510
green-bay,-1,2511
oakland,-1,2512
iupui,1,2513
illinois-chicago,1,2514

western-michigan
Opponent,Location,gameid
detroit-mercy,1,2515
mississippi,-1,2516
oakland,-1,2517
cincinnati,-1,2518
southern,0,2519
nicholls-state,0,2520
south-carolina-upstate,1,2521
youngstown-state,-1,2522
michigan,-1,2523
dayton,-1,2524
milwaukee,1,2525
california-riverside,1,2526
akron,-1,2527
kent-state,-1,2528
toledo,1,2529
buffalo,1,2530
bowling-green-state,-1,2531
ohio,-1,2532
eastern-michigan,1,2533
central-michigan,-1,2534
bowling-green-state,1,2535
ball-state,-1,2536
northern-illinois,1,2537
kent-state,1,2538
miami-oh,1,2539
eastern-michigan,-1,2540
northern-illinois,-1,2541
ball-state,1,2542
toledo,-1,2543
central-michigan,1,2544

north-carolina
Opponent,Location,gameid
wofford,-1,2545
elon,-1,2546
stanford,1,2547
tennessee-tech,1,2548
saint-francis-pa,1,2549
texas,0,2550
ucla,0,2551
michigan,-1,2552
north-carolina-wilmington,1,2553
gonzaga,1,2554
kentucky,0,2555
davidson,1,2556
harvard,1,2557
pittsburgh,-1,2558
north-carolina-state,-1,2559
louisville,1,2560
notre-dame,1,2561
miami-fl,-1,2562
virginia-tech,1,2563
georgia-tech,-1,2564
louisville,-1,2565
north-carolina-state,1,2566
miami-fl,1,2567
virginia,1,2568
wake-forest,-1,2569
duke,-1,2570
florida-state,1,2571
syracuse,1,2572
clemson,-1,2573
boston-college,-1,2574
duke,1,2575

wofford
Opponent,Location,gameid
north-carolina,1,2576
high-point,-1,2577
oklahoma,-1,2578
coppin-state,1,2579
south-carolina,-1,2580
east-tennessee-state,1,2581
kansas,-1,2582
coastal-carolina,1,2583
north-carolina-asheville,1,2584
mississippi-state,-1,2585
western-carolina,-1,2586
citadel,1,2587
mercer,1,2588
north-carolina-greensboro,-1,2589
virginia-military-institute,-1,2590
furman,1,2591
samford,1,2592
chattanooga,1,2593
mercer,-1,2594
citadel,-1,2595
east-tennessee-state,-1,2596
western-carolina,1,2597
virginia-military-institute,1,2598
north-carolina-greensboro,1,2599
furman,-1,2600
chattanooga,-1,2601
samford,-1,2602

southern
Opponent,Location,gameid
alabama,-1,2603
baylor,-1,2604
louisville,-1,2605
george-mason,-1,2606
western-michigan,0,2607
north-carolina-central,0,2608
louisiana-lafayette,-1,2609
south-dakota-state,-1,2610
iowa-state,-1,2611
northwestern-state,-1,2612
california-baptist,1,2613
marquette,-1,2614
prairie-view,1,2615
texas-southern,1,2616
grambling,-1,2617
jackson-state,-1,2618
arkansas-pine-bluff,1,2619
mississippi-valley-state,1,2620
alabama-am,-1,2621
alabama-state,-1,2622
alcorn-state,-1,2623
grambling,1,2624
jackson-state,1,2625
arkansas-pine-bluff,-1,2626
mississippi-valley-state,-1,2627
alabama-am,1,2628
alabama-state,1,2629
alcorn-state,1,2630
prairie-view,-1,2631
texas-southern,-1,2632

alabama
Opponent,Location,gameid
southern,1,2633
appalachian-state,1,2634
northeastern,0,2635
ball-state,0,2636
wichita-state,0,2637
murray-state,1,2638
central-florida,-1,2639
georgia-state,1,2640
arizona,1,2641
liberty,0,2642
penn-state,1,2643
stephen-f-austin,-1,2644
kentucky,1,2645
louisiana-state,-1,2646
texas-am,1,2647
missouri,-1,2648
tennessee,-1,2649
mississippi,1,2650
baylor,-1,2651
mississippi-state,1,2652
auburn,-1,2653
georgia,1,2654
vanderbilt,-1,2655
mississippi-state,-1,2656
florida,1,2657
texas-am,-1,2658
vanderbilt,1,2659
south-carolina,-1,2660
louisiana-state,1,2661
auburn,1,2662
arkansas,-1,2663

mercer
Opponent,Location,gameid
alabama-birmingham,-1,2664
georgia-state,-1,2665
tennessee-martin,1,2666
maryland-eastern-shore,1,2667
north-carolina-state,-1,2668
citadel,-1,2669
florida-atlantic,-1,2670
georgia-southern,1,2671
florida,-1,2672
north-carolina-wilmington,1,2673
harvard,0,2674
furman,-1,2675
wofford,-1,2676
western-carolina,1,2677
east-tennessee-state,1,2678
chattanooga,-1,2679
samford,-1,2680
virginia-military-institute,1,2681
north-carolina-greensboro,-1,2682
wofford,1,2683
furman,1,2684
citadel,1,2685
western-carolina,-1,2686
east-tennessee-state,-1,2687
samford,1,2688
chattanooga,1,2689
virginia-military-institute,-1,2690
north-carolina-greensboro,1,2691

alabama-birmingham
Opponent,Location,gameid
mercer,1,2692
new-orleans,1,2693
florida-state,0,2694
college-of-charleston,0,2695
canisius,0,2696
alabama-am,-1,2697
north-alabama,1,2698
memphis,-1,2699
auburn,0,2700
alcorn-state,1,2701
troy,1,2702
florida-atlantic,1,2703
florida-international,1,2704
louisiana-tech,-1,2705
southern-mississippi,-1,2706
texas-el-paso,1,2707
texas-san-antonio,1,2708
north-texas,-1,2709
rice,-1,2710
middle-tennessee,-1,2711
middle-tennessee,1,2712
old-dominion,1,2713
charlotte,1,2714
marshall,-1,2715
western-kentucky,-1,2716

cal-state-fullerton
Opponent,Location,gameid
arizona-state,-1,2717
central-florida,0,2718
wake-forest,0,2719
monmouth,0,2720
hofstra,-1,2721
sacramento-state,-1,2722
loyola-marymount,1,2723
saint-marys-ca,-1,2724
san-francisco,-1,2725
nebraska,-1,2726
portland,1,2727
washington,-1,2728
hawaii,-1,2729
california-irvine,1,2730
california-riverside,1,2731
long-beach-state,-1,2732
california-santa-barbara,1,2733
cal-poly,-1,2734
cal-state-northridge,1,2735
california-irvine,-1,2736
california-riverside,-1,2737
long-beach-state,1,2738
cal-state-northridge,-1,2739
california-davis,1,2740
california-santa-barbara,-1,2741
cal-poly,1,2742
california-davis,-1,2743
hawaii,1,2744

arizona-state
Opponent,Location,gameid
cal-state-fullerton,1,2745
mcneese-state,1,2746
long-beach-state,1,2747
mississippi-state,0,2748
utah-state,0,2749
nebraska-omaha,1,2750
texas-southern,1,2751
nevada,0,2752
georgia,-1,2753
vanderbilt,-1,2754
kansas,1,2755
princeton,1,2756
utah,1,2757
colorado,1,2758
california,-1,2759
stanford,-1,2760
oregon-state,1,2761
oregon,1,2762
ucla,-1,2763
southern-california,-1,2764
arizona,1,2765
washington-state,1,2766
washington,1,2767
colorado,-1,2768
utah,-1,2769
stanford,1,2770
california,1,2771
oregon,-1,2772
oregon-state,-1,2773
arizona,-1,2774

cornell
Opponent,Location,gameid
binghamton,-1,2775
colgate,1,2776
delaware,1,2777
njit,-1,2778
connecticut,-1,2779
lafayette,-1,2780
syracuse,-1,2781
niagara,-1,2782
longwood,1,2783
toledo,-1,2784
southern-methodist,-1,2785
navy,1,2786
wake-forest,-1,2787
towson,-1,2788
columbia,1,2789
columbia,-1,2790
pennsylvania,1,2791
princeton,1,2792
dartmouth,-1,2793
harvard,-1,2794
brown,1,2795
yale,1,2796
princeton,-1,2797
pennsylvania,-1,2798
yale,-1,2799
brown,-1,2800
harvard,1,2801
dartmouth,1,2802

binghamton
Opponent,Location,gameid
cornell,1,2803
njit,1,2804
northwestern,-1,2805
colgate,-1,2806
sacred-heart,1,2807
army,-1,2808
morgan-state,-1,2809
loyola-md,1,2810
youngstown-state,1,2811
notre-dame,-1,2812
long-island-university,-1,2813
michigan,-1,2814
columbia,1,2815
new-hampshire,1,2816
stony-brook,-1,2817
maryland-baltimore-county,-1,2818
vermont,-1,2819
massachusetts-lowell,1,2820
maine,1,2821
hartford,-1,2822
albany-ny,-1,2823
stony-brook,1,2824
new-hampshire,-1,2825
maryland-baltimore-county,1,2826
massachusetts-lowell,-1,2827
vermont,1,2828
hartford,1,2829
maine,-1,2830
albany-ny,1,2831

western-illinois
Opponent,Location,gameid
creighton,-1,2832
eastern-illinois,-1,2833
tennessee-martin,-1,2834
nebraska,-1,2835
southern-illinois-edwardsville,1,2836
southeast-missouri-state,-1,2837
stetson,-1,2838
eastern-illinois,1,2839
iupui,-1,2840
northern-illinois,-1,2841
chicago-state,1,2842
south-dakota-state,1,2843
denver,1,2844
oral-roberts,-1,2845
north-dakota-state,-1,2846
north-dakota,-1,2847
nebraska-omaha,1,2848
ipfw,1,2849
south-dakota,-1,2850
north-dakota,1,2851
north-dakota-state,1,2852
ipfw,-1,2853
south-dakota,1,2854
nebraska-omaha,-1,2855
oral-roberts,1,2856
denver,-1,2857
south-dakota-state,-1,2858

creighton
Opponent,Location,gameid
western-illinois,1,2859
east-tennessee-state,1,2860
ohio-state,1,2861
boise-state,0,2862
georgia-state,0,2863
clemson,0,2864
montana,1,2865
gonzaga,1,2866
nebraska,-1,2867
green-bay,1,2868
oklahoma,-1,2869
missouri-kansas-city,1,2870
providence,-1,2871
butler,-1,2872
marquette,1,2873
villanova,1,2874
st-johns-ny,-1,2875
georgetown,-1,2876
butler,1,2877
st-johns-ny,1,2878
xavier,1,2879
villanova,-1,2880
seton-hall,-1,2881
xavier,-1,2882
seton-hall,1,2883
depaul,-1,2884
georgetown,1,2885
marquette,-1,2886
providence,1,2887
depaul,1,2888

maryland-eastern-shore
Opponent,Location,gameid
georgetown,-1,2889
north-carolina-state,-1,2890
longwood,1,2891
north-texas,-1,2892
mercer,-1,2893
st-johns-ny,-1,2894
delaware,1,2895
east-carolina,-1,2896
duquesne,-1,2897
pittsburgh,-1,2898
winthrop,-1,2899
american,-1,2900
virginia-tech,-1,2901
morgan-state,-1,2902
howard,1,2903
north-carolina-central,1,2904
north-carolina-at,1,2905
florida-am,-1,2906
bethune-cookman,-1,2907
norfolk-state,-1,2908
howard,-1,2909
south-carolina-state,1,2910
savannah-state,1,2911
north-carolina-central,-1,2912
north-carolina-at,-1,2913
coppin-state,1,2914
delaware-state,-1,2915
morgan-state,1,2916
delaware-state,1,2917

georgetown
Opponent,Location,gameid
maryland-eastern-shore,1,2918
central-connecticut-state,1,2919
illinois,-1,2920
loyola-marymount,0,2921
south-florida,0,2922
campbell,1,2923
richmond,1,2924
liberty,1,2925
syracuse,-1,2926
southern-methodist,1,2927
appalachian-state,1,2928
arkansas-little-rock,1,2929
howard,1,2930
butler,-1,2931
st-johns-ny,1,2932
xavier,-1,2933
providence,1,2934
marquette,1,2935
creighton,1,2936
st-johns-ny,-1,2937
xavier,1,2938
villanova,-1,2939
providence,-1,2940
butler,1,2941
seton-hall,-1,2942
villanova,1,2943
creighton,-1,2944
depaul,1,2945
seton-hall,1,2946
depaul,-1,2947
marquette,-1,2948

alabama-state
Opponent,Location,gameid
iowa-state,-1,2949
south-dakota-state,-1,2950
iowa,-1,2951
akron,-1,2952
boise-state,-1,2953
utah-state,-1,2954
sam-houston-state,-1,2955
liberty,0,2956
campbell,0,2957
grambling,1,2958
jackson-state,1,2959
arkansas-pine-bluff,-1,2960
mississippi-valley-state,-1,2961
alabama-am,0,2962
alcorn-state,1,2963
southern,1,2964
texas-southern,-1,2965
prairie-view,-1,2966
arkansas-pine-bluff,1,2967
mississippi-valley-state,1,2968
alabama-am,1,2969
alcorn-state,-1,2970
southern,-1,2971
texas-southern,1,2972
prairie-view,1,2973
grambling,-1,2974
jackson-state,-1,2975

iowa-state
Opponent,Location,gameid
alabama-state,1,2976
missouri,1,2977
texas-southern,1,2978
arizona,0,2979
illinois,0,2980
san-diego-state,0,2981
nebraska-omaha,1,2982
north-dakota-state,1,2983
iowa,-1,2984
southern,1,2985
drake,0,2986
eastern-illinois,1,2987
oklahoma-state,-1,2988
kansas,1,2989
baylor,-1,2990
kansas-state,1,2991
texas-tech,-1,2992
oklahoma-state,1,2993
kansas,-1,2994
mississippi,-1,2995
west-virginia,1,2996
texas,1,2997
oklahoma,-1,2998
texas-christian,1,2999
kansas-state,-1,3000
baylor,1,3001
texas-christian,-1,3002
oklahoma,1,3003
texas,-1,3004
west-virginia,-1,3005
texas-tech,1,3006

louisiana-monroe
Opponent,Location,gameid
jackson-state,-1,3007
texas,-1,3008
michigan-state,-1,3009
tennessee-tech,-1,3010
northwestern-state,-1,3011
mississippi,-1,3012
grambling,1,3013
stephen-f-austin,1,3014
nicholls-state,1,3015
coppin-state,1,3016
louisiana-state,-1,3017
arkansas-little-rock,1,3018
arkansas-state,1,3019
georgia-southern,-1,3020
georgia-state,-1,3021
louisiana-lafayette,1,3022
troy,1,3023
south-alabama,1,3024
coastal-carolina,-1,3025
appalachian-state,-1,3026
georgia-state,1,3027
georgia-southern,1,3028
louisiana-lafayette,-1,3029
texas-state,-1,3030
texas-arlington,-1,3031
appalachian-state,1,3032
coastal-carolina,1,3033
arkansas-state,-1,3034
arkansas-little-rock,-1,3035

jackson-state
Opponent,Location,gameid
louisiana-monroe,1,3036
st-bonaventure,-1,3037
boise-state,-1,3038
sam-houston-state,0,3039
chicago-state,0,3040
san-diego,-1,3041
san-diego-state,-1,3042
santa-clara,-1,3043
pepperdine,-1,3044
murray-state,-1,3045
central-michigan,-1,3046
alabama-am,-1,3047
alabama-state,-1,3048
alcorn-state,1,3049
southern,1,3050
prairie-view,-1,3051
texas-southern,-1,3052
grambling,-1,3053
mississippi-valley-state,1,3054
arkansas-pine-bluff,1,3055
alcorn-state,-1,3056
southern,-1,3057
prairie-view,1,3058
texas-southern,1,3059
grambling,1,3060
mississippi-valley-state,-1,3061
arkansas-pine-bluff,-1,3062
alabama-am,1,3063
alabama-state,1,3064

southeastern-louisiana
Opponent,Location,gameid
louisiana-state,-1,3065
nebraska,-1,3066
texas-tech,-1,3067
stetson,1,3068
mississippi-valley-state,-1,3069
tulane,-1,3070
mississippi,0,3071
california-baptist,1,3072
grambling,-1,3073
bradley,-1,3074
louisiana-lafayette,1,3075
stephen-f-austin,-1,3076
central-arkansas,1,3077
abilene-christian,1,3078
lamar,1,3079
mcneese-state,-1,3080
houston-baptist,-1,3081
northwestern-state,-1,3082
sam-houston-state,1,3083
nicholls-state,1,3084
texas-am-corpus-christi,-1,3085
central-arkansas,-1,3086
incarnate-word,1,3087
mcneese-state,1,3088
new-orleans,-1,3089
abilene-christian,-1,3090
northwestern-state,1,3091
new-orleans,1,3092
nicholls-state,-1,3093

louisiana-state
Opponent,Location,gameid
southeastern-louisiana,1,3094
north-carolina-greensboro,1,3095
memphis,1,3096
louisiana-tech,1,3097
college-of-charleston,0,3098
florida-state,0,3099
oklahoma-state,0,3100
grambling,1,3101
incarnate-word,1,3102
houston,-1,3103
saint-marys-ca,0,3104
furman,1,3105
louisiana-monroe,1,3106
alabama,1,3107
arkansas,-1,3108
mississippi,-1,3109
south-carolina,1,3110
georgia,1,3111
missouri,-1,3112
texas-am,-1,3113
arkansas,1,3114
mississippi-state,-1,3115
auburn,1,3116
kentucky,-1,3117
georgia,-1,3118
florida,1,3119
tennessee,1,3120
texas-am,1,3121
alabama,-1,3122
florida,-1,3123
vanderbilt,1,3124

elon
Opponent,Location,gameid
manhattan,-1,3125
north-carolina,1,3126
abilene-christian,0,3127
california-riverside,0,3128
pacific,-1,3129
boston-university,1,3130
furman,1,3131
north-carolina-greensboro,1,3132
canisius,1,3133
kennesaw-state,-1,3134
missouri-kansas-city,-1,3135
towson,1,3136
james-madison,1,3137
drexel,-1,3138
delaware,-1,3139
northeastern,1,3140
hofstra,1,3141
william-mary,-1,3142
college-of-charleston,-1,3143
north-carolina-wilmington,-1,3144
delaware,1,3145
drexel,1,3146
hofstra,-1,3147
northeastern,-1,3148
william-mary,1,3149
north-carolina-wilmington,1,3150
college-of-charleston,1,3151
james-madison,-1,3152
towson,-1,3153

manhattan
Opponent,Location,gameid
elon,1,3154
maryland-baltimore-county,-1,3155
coastal-carolina,0,3156
northern-kentucky,-1,3157
north-carolina-asheville,0,3158
george-washington,-1,3159
fordham,1,3160
stony-brook,1,3161
hofstra,1,3162
connecticut,-1,3163
albany-ny,-1,3164
st-francis-ny,-1,3165
quinnipiac,1,3166
niagara,1,3167
marist,-1,3168
monmouth,-1,3169
saint-peters,-1,3170
rider,-1,3171
marist,1,3172
siena,-1,3173
fairfield,1,3174
saint-peters,1,3175
rider,1,3176
siena,1,3177
niagara,-1,3178
canisius,-1,3179
iona,1,3180
fairfield,-1,3181
monmouth,1,3182
quinnipiac,-1,3183

tennessee-tech
Opponent,Location,gameid
memphis,-1,3184
presbyterian,1,3185
savannah-state,-1,3186
north-carolina,-1,3187
michigan-state,-1,3188
louisiana-monroe,1,3189
winthrop,1,3190
chattanooga,-1,3191
kennesaw-state,-1,3192
savannah-state,1,3193
tennessee,-1,3194
tennessee-state,-1,3195
belmont,-1,3196
southern-illinois-edwardsville,1,3197
eastern-illinois,1,3198
tennessee-state,1,3199
jacksonville-state,-1,3200
morehead-state,-1,3201
eastern-kentucky,-1,3202
austin-peay,1,3203
murray-state,1,3204
southeast-missouri-state,-1,3205
tennessee-martin,-1,3206
jacksonville-state,1,3207
belmont,1,3208
eastern-kentucky,1,3209
morehead-state,1,3210
southern-illinois-edwardsville,-1,3211
eastern-illinois,-1,3212

memphis
Opponent,Location,gameid
tennessee-tech,1,3213
louisiana-state,-1,3214
yale,1,3215
oklahoma-state,0,3216
canisius,0,3217
college-of-charleston,0,3218
texas-tech,0,3219
south-dakota-state,1,3220
alabama-birmingham,1,3221
tennessee,1,3222
arkansas-little-rock,1,3223
tennessee-state,1,3224
florida-am,1,3225
wichita-state,1,3226
houston,-1,3227
east-carolina,1,3228
tulane,-1,3229
southern-methodist,1,3230
temple,-1,3231
central-florida,1,3232
tulsa,-1,3233
south-florida,-1,3234
cincinnati,1,3235
connecticut,1,3236
east-carolina,-1,3237
central-florida,-1,3238
tulane,1,3239
wichita-state,-1,3240
temple,1,3241
cincinnati,-1,3242
tulsa,1,3243

norfolk-state
Opponent,Location,gameid
michigan,-1,3244
south-carolina,-1,3245
siena,0,3246
stony-brook,0,3247
stony-brook,1,3248
hampton,1,3249
kent-state,-1,3250
rider,-1,3251
loyola-il,-1,3252
texas-el-paso,-1,3253
east-tennessee-state,0,3254
niagara,-1,3255
delaware-state,1,3256
florida-am,1,3257
coppin-state,-1,3258
bethune-cookman,1,3259
savannah-state,-1,3260
south-carolina-state,-1,3261
maryland-eastern-shore,1,3262
howard,-1,3263
bethune-cookman,-1,3264
florida-am,-1,3265
north-carolina-central,1,3266
north-carolina-at,1,3267
morgan-state,-1,3268
coppin-state,1,3269
delaware-state,-1,3270
howard,1,3271

michigan
Opponent,Location,gameid
norfolk-state,1,3272
holy-cross,1,3273
villanova,-1,3274
george-washington,0,3275
providence,0,3276
chattanooga,1,3277
north-carolina,1,3278
purdue,1,3279
northwestern,-1,3280
south-carolina,1,3281
western-michigan,1,3282
air-force,1,3283
binghamton,1,3284
penn-state,1,3285
indiana,1,3286
illinois,-1,3287
northwestern,1,3288
wisconsin,-1,3289
minnesota,1,3290
indiana,-1,3291
ohio-state,1,3292
iowa,-1,3293
rutgers,-1,3294
wisconsin,1,3295
penn-state,-1,3296
maryland,1,3297
minnesota,-1,3298
michigan-state,1,3299
nebraska,1,3300
maryland,-1,3301
michigan-state,-1,3302

nebraska-omaha
Opponent,Location,gameid
minnesota,-1,3303
northern-arizona,1,3304
colorado,-1,3305
bethune-cookman,-1,3306
montana-state,1,3307
iowa-state,-1,3308
arizona-state,-1,3309
seattle,-1,3310
oregon,-1,3311
idaho,-1,3312
california-santa-barbara,1,3313
rice,-1,3314
denver,1,3315
oral-roberts,1,3316
north-dakota-state,1,3317
north-dakota,-1,3318
western-illinois,-1,3319
south-dakota,1,3320
ipfw,-1,3321
south-dakota-state,-1,3322
north-dakota,1,3323
south-dakota,-1,3324
south-dakota-state,1,3325
ipfw,1,3326
western-illinois,1,3327
north-dakota-state,-1,3328
oral-roberts,-1,3329
denver,-1,3330

minnesota
Opponent,Location,gameid
nebraska-omaha,1,3331
utah,1,3332
texas-am,0,3333
santa-clara,0,3334
washington,0,3335
boston-college,-1,3336
oklahoma-state,1,3337
ohio-state,-1,3338
nebraska,1,3339
arkansas-state,1,3340
north-florida,1,3341
north-carolina-at,1,3342
mount-st-marys,1,3343
wisconsin,-1,3344
maryland,1,3345
rutgers,1,3346
illinois,-1,3347
penn-state,1,3348
michigan,-1,3349
iowa,1,3350
illinois,1,3351
purdue,-1,3352
wisconsin,1,3353
michigan-state,-1,3354
nebraska,-1,3355
indiana,1,3356
michigan,1,3357
rutgers,-1,3358
northwestern,-1,3359
purdue,1,3360
maryland,-1,3361

central-arkansas
Opponent,Location,gameid
missouri,-1,3362
pittsburgh,-1,3363
troy,-1,3364
saint-louis,-1,3365
arkansas-little-rock,1,3366
louisville,-1,3367
arkansas-little-rock,-1,3368
new-mexico,-1,3369
indiana,-1,3370
oklahoma-state,-1,3371
texas-am-corpus-christi,-1,3372
southeastern-louisiana,-1,3373
sam-houston-state,1,3374
lamar,1,3375
incarnate-word,-1,3376
nicholls-state,1,3377
new-orleans,1,3378
abilene-christian,-1,3379
stephen-f-austin,-1,3380
northwestern-state,1,3381
southeastern-louisiana,1,3382
houston-baptist,1,3383
mcneese-state,-1,3384
nicholls-state,-1,3385
stephen-f-austin,1,3386
abilene-christian,1,3387
sam-houston-state,-1,3388
northwestern-state,-1,3389

missouri
Opponent,Location,gameid
central-arkansas,1,3390
iowa-state,-1,3391
kennesaw-state,0,3392
oregon-state,0,3393
kansas-state,0,3394
temple,1,3395
central-florida,1,3396
texas-arlington,1,3397
oral-roberts,1,3398
xavier,1,3399
illinois,0,3400
morehead-state,1,3401
tennessee,1,3402
south-carolina,-1,3403
alabama,1,3404
texas-am,-1,3405
arkansas,-1,3406
louisiana-state,1,3407
auburn,-1,3408
vanderbilt,1,3409
tennessee,-1,3410
texas-am,1,3411
arkansas,1,3412
mississippi,-1,3413
kentucky,1,3414
florida,-1,3415
mississippi-state,-1,3416
south-carolina,1,3417
georgia,-1,3418
mississippi,1,3419

oral-roberts
Opponent,Location,gameid
missouri-state,-1,3420
texas-christian,-1,3421
california-baptist,1,3422
brigham-young,-1,3423
northern-illinois,0,3424
oakland,-1,3425
james-madison,0,3426
southern-methodist,-1,3427
florida-gulf-coast,1,3428
missouri,-1,3429
richmond,-1,3430
wichita-state,-1,3431
tulsa,1,3432
nebraska-omaha,-1,3433
north-dakota,1,3434
western-illinois,1,3435
ipfw,-1,3436
south-dakota-state,-1,3437
south-dakota,1,3438
denver,-1,3439
north-dakota-state,1,3440
south-dakota-state,1,3441
ipfw,1,3442
denver,1,3443
south-dakota,-1,3444
north-dakota-state,-1,3445
north-dakota,-1,3446
western-illinois,-1,3447
nebraska-omaha,1,3448

missouri-state
Opponent,Location,gameid
oral-roberts,1,3449
robert-morris,1,3450
stetson,1,3451
nebraska,0,3452
southern-california,0,3453
murray-state,-1,3454
air-force,-1,3455
oregon-state,-1,3456
western-kentucky,1,3457
north-dakota-state,-1,3458
arkansas-state,-1,3459
arkansas-pine-bluff,1,3460
southern-illinois,-1,3461
valparaiso,1,3462
indiana-state,-1,3463
bradley,-1,3464
evansville,1,3465
drake,-1,3466
loyola-il,1,3467
bradley,1,3468
valparaiso,-1,3469
northern-iowa,-1,3470
southern-illinois,1,3471
illinois-state,1,3472
evansville,-1,3473
loyola-il,-1,3474
northern-iowa,1,3475
indiana-state,1,3476
illinois-state,-1,3477
drake,1,3478

lehigh
Opponent,Location,gameid
monmouth,-1,3479
miami-fl,-1,3480
marist,1,3481
princeton,1,3482
siena,-1,3483
kansas-state,-1,3484
arkansas-state,1,3485
yale,-1,3486
mount-st-marys,-1,3487
saint-francis-pa,1,3488
west-virginia,-1,3489
lafayette,1,3490
loyola-md,1,3491
holy-cross,-1,3492
colgate,-1,3493
american,1,3494
bucknell,1,3495
navy,-1,3496
boston-university,1,3497
lafayette,-1,3498
army,-1,3499
colgate,1,3500
navy,1,3501
bucknell,-1,3502
boston-university,-1,3503
army,1,3504
holy-cross,1,3505
american,-1,3506
loyola-md,-1,3507

monmouth
Opponent,Location,gameid
lehigh,1,3508
colgate,-1,3509
saint-josephs,-1,3510
west-virginia,0,3511
valparaiso,0,3512
cal-state-fullerton,0,3513
princeton,1,3514
kentucky,-1,3515
bucknell,-1,3516
hofstra,-1,3517
albany-ny,-1,3518
yale,1,3519
pennsylvania,-1,3520
iona,-1,3521
saint-peters,1,3522
quinnipiac,-1,3523
manhattan,1,3524
siena,-1,3525
fairfield,1,3526
iona,1,3527
canisius,-1,3528
niagara,-1,3529
siena,1,3530
rider,1,3531
saint-peters,-1,3532
fairfield,-1,3533
rider,-1,3534
marist,1,3535
canisius,1,3536
quinnipiac,1,3537
manhattan,-1,3538

mississippi-valley-state
Opponent,Location,gameid
