saint-francis-pa,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
california-santa-barbara,1.1639460610361958,0.8895164136957289,82.0,70.45
miami-oh,1.2435233160621764,1.3666026871401151,78.0,62.724999999999994
incarnate-word,1.0536980749746707,1.0970174837161468,78.0,74.025
towson,1.12094395280236,0.7689408217112702,76.0,67.8

new-mexico-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
north-dakota-state,1.0960960960960962,0.8449641644662391,73.0,66.6
texas-el-paso,1.24634858812074,0.8958130477117818,96.0,77.025
saint-marys-ca,0.9366168752523214,1.1661341853035143,58.0,61.925
new-mexico,1.2975835815954981,1.2168284789644013,98.0,75.525

california-riverside,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
oregon-state,0.8702064896755163,1.0872027180067951,59.0,67.8
portland-state,0.8366013071895425,0.9495152123035773,64.0,76.5
nevada-las-vegas,0.7807118254879448,1.0484164543137968,51.0,65.325

oregon-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
california-riverside,1.0872027180067951,0.8702064896755163,72.0,66.225
wyoming,1.1861379063951412,0.8951048951048951,83.0,69.975
old-dominion,0.976781425140112,0.8530083777608529,61.0,62.45
missouri,0.917698470502549,1.0252600297176822,63.0,68.65
pennsylvania,1.0938654841093864,0.8276846236175526,74.0,67.65

ipfw,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
ucla,0.8345577431677931,1.1284161034381428,71.0,85.075
ohio-state,0.7813000320204931,1.4401076716016152,61.0,78.075
dayton,1.0785305021907652,1.2318104906937395,80.0,74.175

ucla,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
ipfw,1.1284161034381428,0.8345577431677931,96.0,85.075
long-beach-state,1.067448680351906,0.9828009828009827,91.0,85.25
saint-francis-pa,1.3649425287356323,0.7379134860050891,95.0,69.6
presbyterian,1.0003125976867773,0.8603573792190603,80.0,79.975

winthrop,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
vanderbilt,0.9705159705159705,1.1719745222929936,79.0,81.4
southern-illinois-edwardsville,1.1831340465701699,1.0139103554868625,94.0,79.45
east-tennessee-state,0.9607270366764037,1.032608695652174,74.0,77.025

vanderbilt,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
winthrop,1.1719745222929936,0.9705159705159705,92.0,78.5
southern-california,0.984984984984985,0.9448818897637795,82.0,83.25
alcorn-state,1.0664866689166386,0.7369498464687819,79.0,74.075
liberty,1.077762619372442,0.925925925925926,79.0,73.3

new-mexico,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
cal-state-northridge,1.0905672203071137,0.9885260370697264,87.0,79.775
iona,1.096892138939671,1.0109622411693058,90.0,82.05
new-mexico-state,1.2168284789644013,1.2975835815954981,94.0,77.25

cal-state-northridge,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
new-mexico,0.9885260370697264,1.0905672203071137,84.0,84.975
loyola-marymount,0.8613728129205922,1.0405004939084623,64.0,74.3
portland,1.0613370089593384,1.107649705780547,77.0,72.55

san-francisco,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
california-davis,1.1062590975254731,0.6025824964131994,76.0,68.7
maine,1.410693970420933,0.7773027594247959,93.0,65.925
long-island-university,1.1196267910696434,0.6970509383378016,84.0,75.025

california-davis,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
san-francisco,0.6025824964131994,1.1062590975254731,42.0,69.7
san-diego,0.8626560726447219,1.1313732787495347,57.0,66.075
arkansas,0.7291011942174733,1.0321758521822237,58.0,79.55
texas-am-corpus-christi,0.7851239669421488,0.7427785419532325,57.0,72.6
texas-arlington,0.8956356736242884,1.057542768273717,59.0,65.875

idaho,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
california-irvine,1.0596026490066226,1.3195243574990412,68.0,64.175
nicholls-state,1.0366051182377714,1.1307901907356948,80.0,77.175

california-irvine,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
idaho,1.3195243574990412,1.0596026490066226,86.0,65.175
texas-am,1.1024208566108007,1.0089841050449206,74.0,67.125
santa-clara,0.8594575554772808,0.7035175879396984,61.0,70.975
texas-san-antonio,0.9151707145371347,0.761386811692726,65.0,71.025

weber-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
san-diego,0.9065934065934066,1.1933860531991374,66.0,72.8
san-jose-state,1.0026540843409024,0.9296709930576517,85.0,84.775
central-michigan,1.0022486347574686,1.0072895957587806,78.0,77.825
cal-state-bakersfield,0.9595417114214106,1.0130353817504656,67.0,69.825

san-diego,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
weber-state,1.1933860531991374,0.9065934065934066,83.0,69.55
california-davis,1.1313732787495347,0.8626560726447219,76.0,67.175
washington,0.9371513573819265,1.0463733650416172,63.0,67.225

arkansas-pine-bluff,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
san-diego-state,0.8258774948382656,1.0943124550035996,60.0,72.65
colorado-state,1.002618780396558,1.3886792452830188,67.0,66.825
southern-illinois,0.6997084548104957,1.0974322898346816,48.0,68.6
massachusetts,0.7947019867549668,1.218543046357616,60.0,75.5

san-diego-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
arkansas-pine-bluff,1.0943124550035996,0.8258774948382656,76.0,69.45
texas-southern,1.239470517448857,0.7945375543140907,103.0,83.1
duke,0.8788190868520426,1.1976047904191616,64.0,72.825

seattle,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
stanford,1.014045906132237,1.2359188928226585,74.0,72.975
bryant,1.080013170892328,0.8443649373881932,82.0,75.925
washington-state,1.0273296015805071,0.8801020408163265,78.0,75.925
southern-utah,0.9234828496042217,1.002403020940611,70.0,75.8

stanford,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
seattle,1.2359188928226585,1.014045906132237,96.0,77.675
north-carolina-wilmington,1.0173083716001412,0.7986463620981388,72.0,70.775
north-carolina,0.909952606635071,1.084664055438385,72.0,79.125

western-kentucky,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
washington,0.7681564245810056,1.006896551724138,55.0,71.6
tennessee-martin,1.1470490163387796,0.9351333552848206,86.0,74.975
valparaiso,1.208591190389516,1.0208483105679367,83.0,68.675
west-virginia,0.8731808731808731,0.7400194741966893,63.0,72.15
central-florida,0.8614102118791248,1.1079545454545454,62.0,71.975

washington,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
western-kentucky,1.006896551724138,0.7681564245810056,73.0,72.5
auburn,0.969518912963643,1.1745078411745078,66.0,68.075
san-diego,1.0463733650416172,0.9371513573819265,66.0,63.075
santa-clara,1.0911510312707917,0.8950312602829879,82.0,75.15

california-santa-barbara,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
wyoming,1.0581273929690218,0.9318743381574303,76.0,71.825
north-dakota-state,0.8895164136957289,1.1639460610361958,63.0,70.825
montana-state,1.3502109704641352,1.0368144252441773,88.0,65.175

wyoming,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
california-santa-barbara,0.9318743381574303,1.0581273929690218,66.0,70.825
oregon-state,0.8951048951048951,1.1861379063951412,64.0,71.5
grambling,1.1286089238845145,1.0273296015805071,86.0,76.2
niagara,0.8856576338400528,0.9713322091062394,67.0,75.65
boston-college,1.07839659453707,1.1752921535893155,76.0,70.475

brigham-young,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
nevada,0.8971483498878564,1.0421084519842472,70.0,78.025
utah-valley,0.9884678747940692,0.832,75.0,75.875
northwestern-state,1.0529695024077046,0.7390599675850892,82.0,77.875
oral-roberts,1.0578718108276293,0.797057020232986,85.0,80.35
alabama-am,1.2478573877271169,0.8253094910591472,91.0,72.925

nevada,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
brigham-young,1.0421084519842472,0.8971483498878564,86.0,82.525
pacific,1.2420501309390197,0.8758076094759512,83.0,66.825
arkansas-little-rock,1.1466227347611202,0.7654881608822575,87.0,75.875
california-baptist,1.183431952662722,0.7044508485430675,90.0,76.05

portland-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
oregon,0.7744565217391305,1.1885390873717723,57.0,73.6
california-riverside,0.9495152123035773,0.8366013071895425,71.0,74.775

oregon,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
portland-state,1.1885390873717723,0.7744565217391305,84.0,70.675
eastern-washington,1.2641435817401483,0.6927044952100222,81.0,64.075
iowa,0.9663865546218486,1.0595115239078088,69.0,71.4
syracuse,1.161524500907441,0.9062391077030325,80.0,68.875

robert-morris,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
southern-california,0.8241940844134265,1.0658105939004816,62.0,75.225
missouri-state,0.7643312101910829,0.9698558322411533,60.0,78.5
mississippi-valley-state,1.0518174787316317,0.8208695652173913,68.0,64.65
stetson,1.1842105263157894,1.0027855153203342,81.0,68.4

southern-california,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
robert-morris,1.0658105939004816,0.8241940844134265,83.0,77.875
vanderbilt,0.9448818897637795,0.984984984984985,78.0,82.55
stetson,1.1949685534591195,0.7354315986288564,95.0,79.5
texas-tech,0.9038737446197991,1.0648464163822526,63.0,69.7

ohio-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
cincinnati,0.9930178432893716,0.8002858163629869,64.0,64.45
ipfw,1.4401076716016152,0.7813000320204931,107.0,74.3
creighton,1.1004784688995215,0.9954375777685608,69.0,62.7
south-carolina-state,1.1768595041322314,0.8634111818825194,89.0,75.625

cincinnati,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
ohio-state,0.8002858163629869,0.9930178432893716,56.0,69.975
north-carolina-central,1.1459968602825745,0.868824531516184,73.0,63.7
milwaukee,1.1653543307086613,0.9644087256027554,74.0,63.5
western-michigan,1.0974322898346816,0.724991286162426,78.0,71.075

north-florida,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
dayton,1.0050251256281406,1.1333091173265528,70.0,69.65
penn-state,0.8949658172778123,1.0280649926144756,72.0,80.45
wright-state,1.0650887573964498,1.1687458962573867,72.0,67.6

dayton,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
north-florida,1.1333091173265528,1.0050251256281406,78.0,68.825
coppin-state,1.0194500335345407,0.6123128119800333,76.0,74.55
ipfw,1.2318104906937395,1.0785305021907652,91.0,73.875

bethune-cookman,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
depaul,0.8634164495720135,1.1552346570397112,58.0,67.175
marquette,0.707010185739964,1.1158277744087326,59.0,83.45
miami-fl,1.0119262739428985,1.0209424083769634,70.0,69.175

depaul,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
bethune-cookman,1.1552346570397112,0.8634164495720135,80.0,69.25
morgan-state,1.1711711711711712,0.7982261640798226,91.0,77.7
penn-state,0.9002813379180995,0.89058524173028,72.0,79.975

marshall,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
eastern-kentucky,1.1146496815286624,0.8270676691729324,105.0,94.2
hofstra,1.031907671418873,0.9470568891811904,76.0,73.65
mount-st-marys,1.1857229280096793,0.9149130832570906,98.0,82.65
north-carolina-at,1.2029123140234252,0.8990186767964546,95.0,78.975

eastern-kentucky,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
marshall,0.8270676691729324,1.1146496815286624,77.0,93.1
chattanooga,0.9712230215827338,0.9316213795162736,81.0,83.4
kansas-state,0.8180451127819549,1.18861432593056,68.0,83.125
northern-iowa,0.9892347977887693,1.1019283746556474,85.0,85.925
kennesaw-state,1.2422360248447204,0.9588635691032851,100.0,80.5

lafayette,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
saint-peters,1.0746641674476725,1.2007746933505488,86.0,80.025
la-salle,1.0705596107055961,1.0795454545454544,77.0,71.925
pennsylvania,0.8786460208858481,1.294912842404838,61.0,69.425
st-francis-ny,0.9160305343511451,1.0643015521064303,72.0,78.6

saint-peters,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
lafayette,1.2007746933505488,1.0746641674476725,93.0,77.45
delaware,0.9191176470588236,0.9889064976228209,75.0,81.6
bryant,0.9534619750283768,1.0737240075614367,63.0,66.075

bucknell,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
st-bonaventure,1.0986267166042447,1.066164941988084,88.0,80.1
fairfield,0.872836719337848,0.9512485136741974,58.0,66.45
canisius,0.9931972789115646,1.0951585976627713,73.0,73.5

st-bonaventure,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
bucknell,1.066164941988084,1.0986267166042447,85.0,79.725
jackson-state,0.9260539046302696,0.47556142668428003,67.0,72.35
niagara,0.9674168626133692,1.1130434782608696,72.0,74.425
georgia-state,0.9084556254367575,1.0917030567685588,65.0,71.55

high-point,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
william-mary,0.9714889123548046,1.0983663538408064,69.0,71.025
wofford,1.0139416983523448,1.1564625850340136,60.0,59.175
south-dakota,0.9527590313616514,0.9329446064139942,60.0,62.975
maryland-baltimore-county,0.92151503319016,1.04978772674643,59.0,64.025
air-force,1.1210398050365558,0.9748427672955975,69.0,61.55

william-mary,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
high-point,1.0983663538408064,0.9714889123548046,79.0,71.925
duquesne,0.9922041105598867,1.2504652028284333,70.0,70.55
illinois-chicago,1.1370436864153202,1.257071024512885,95.0,83.55
notre-dame,0.9387605427209388,1.0747147589252852,64.0,68.175

western-carolina,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
wright-state,0.9182389937106918,1.1955168119551682,73.0,79.5
college-of-charleston,1.0854418775210855,1.166224914804998,74.0,68.175
southern-methodist,0.8825526137135098,1.3079746413079747,65.0,73.65

wright-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
western-carolina,1.1955168119551682,0.9182389937106918,96.0,80.3
murray-state,0.7932427469702533,1.1291569992266046,54.0,68.075
toledo,1.058601134215501,0.9203980099502487,84.0,79.35
north-florida,1.1687458962573867,1.0650887573964498,89.0,76.15

houston-baptist,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
arizona,0.7709604882749759,1.1984021304926766,60.0,77.825
fordham,1.0224948875255624,1.0480349344978166,75.0,73.35
wisconsin,0.8005427408412483,1.299492385786802,59.0,73.7

arizona,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
houston-baptist,1.1984021304926766,0.7709604882749759,90.0,75.1
cal-poly,1.1444521981856244,0.7997377908882333,82.0,71.65
texas-el-paso,1.1006617903169627,0.651558073654391,79.0,71.775
iowa-state,1.0063784549964565,0.9272918861959958,71.0,70.55

savannah-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
texas-am,0.8215788171244741,0.99644128113879,83.0,101.025
georgia,0.7721615443230887,1.1802575107296136,76.0,98.425
tennessee-tech,1.0018073844564936,0.8711624245604828,97.0,96.825
gardner-webb,0.9163939303778637,1.2193588937774984,77.0,84.025

texas-am,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
savannah-state,0.99644128113879,0.8215788171244741,98.0,98.35
california-irvine,1.0089841050449206,1.1024208566108007,73.0,72.35
gonzaga,0.9722697706264977,1.172069825436409,71.0,73.025
minnesota,0.9394495412844037,0.9299191374663073,64.0,68.125

cal-state-bakersfield,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
texas-christian,0.8885651857246903,0.9318743381574303,61.0,68.65
central-michigan,0.7596685082872927,0.9537366548042705,55.0,72.4
san-jose-state,1.0121317157712304,1.0084033613445378,73.0,72.125
weber-state,1.0130353817504656,0.9595417114214106,68.0,67.125

texas-christian,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
cal-state-bakersfield,0.9318743381574303,0.8885651857246903,66.0,70.825
oral-roberts,1.0604026845637584,0.8316566063044937,79.0,74.5
fresno-state,1.0746685275645498,0.8984375,77.0,71.65

mcneese-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
saint-marys-ca,0.9745127436281859,1.3771270280965573,65.0,66.7
arizona-state,0.7347227128223242,1.1623683254631312,52.0,70.775

saint-marys-ca,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
mcneese-state,1.3771270280965573,0.9745127436281859,87.0,63.175
utah-valley,1.3757009345794393,0.9100758396533045,92.0,66.875
new-mexico-state,1.1661341853035143,0.9366168752523214,73.0,62.6
utah-state,0.8588957055214724,1.1026878015161958,63.0,73.35

morehead-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
connecticut,0.9195402298850575,1.0515938218862964,70.0,76.125
syracuse,0.8782936010037641,1.0212765957446808,70.0,79.7
missouri-kansas-city,1.2729026036644164,1.1795891318754141,99.0,77.775
green-bay,0.9790209790209791,1.2223393045310853,70.0,71.5

connecticut,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
morehead-state,1.0515938218862964,0.9195402298850575,80.0,76.075
missouri-kansas-city,1.2608987256874582,0.8704253214638971,94.0,74.55
syracuse,1.1077744411077746,0.9397217928902627,83.0,74.925
iowa,0.9216,1.1581291759465477,72.0,78.125

nicholls-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
louisville,0.9160305343511451,1.088,72.0,78.6
washington-state,0.9260450160771704,1.1706675435711935,72.0,77.75
idaho,1.1307901907356948,1.0366051182377714,83.0,73.4
baylor,0.787746170678337,1.1663066954643628,54.0,68.55

louisville,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
nicholls-state,1.088,0.9160305343511451,85.0,78.125
southern,1.4339882799034815,0.7563025210084033,104.0,72.525
vermont,1.2343021169716542,1.1813706929193486,86.0,69.675

evansville,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
illinois,0.7458048477315102,1.1978221415607984,60.0,80.45
xavier,1.1556764106050306,1.2866737363025804,85.0,73.55
texas-southern,1.012206013694552,0.7451212300413956,85.0,83.975

illinois,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
evansville,1.1978221415607984,0.7458048477315102,99.0,82.65
georgetown,0.986740672217083,1.0918114143920596,80.0,81.075
gonzaga,0.9746954076850983,1.068362480127186,78.0,80.025

iowa,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
missouri-kansas-city,1.054072553045859,0.9038737446197991,77.0,73.05
green-bay,1.089311859443631,0.9579439252336449,93.0,85.375
oregon,1.0595115239078088,0.9663865546218486,77.0,72.675
connecticut,1.1581291759465477,0.9216,91.0,78.575

new-orleans,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
northwestern,0.7596785975164353,1.2358703843255465,52.0,68.45
alabama-birmingham,1.0587777345270535,1.1278195488721805,68.0,64.225

northwestern,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
new-orleans,1.2358703843255465,0.7596785975164353,82.0,66.35
american,0.9347181008902077,0.738327904451683,63.0,67.4
binghamton,1.1084825954714432,0.7040417209908735,82.0,73.975

northwestern-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
southern-methodist,0.8605341246290801,1.0058309037900874,58.0,67.4
brigham-young,0.7390599675850892,1.0529695024077046,57.0,77.125
rice,0.8958837772397095,1.2378640776699028,74.0,82.6
houston,0.8712871287128713,1.3587406793703398,55.0,63.125

southern-methodist,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
northwestern-state,1.0058309037900874,0.8605341246290801,69.0,68.6
southern-mississippi,1.027699718988358,1.169498222046622,64.0,62.275
western-carolina,1.3079746413079747,0.8825526137135098,98.0,74.925
lipscomb,0.9668874172185431,1.0150979762287182,73.0,75.5

utah,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
maine,1.0865628395508873,0.8751793400286944,75.0,69.025
minnesota,0.9321175278622087,1.137855579868709,69.0,74.025
mississippi-valley-state,1.2971542025148908,0.8327825512227363,98.0,75.55

drexel,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
eastern-michigan,0.9429657794676806,0.998109640831758,62.0,65.75
rutgers,0.8724388631857236,1.2281835811247577,66.0,75.65
la-salle,1.1866666666666668,1.1397557666214382,89.0,75.0

eastern-michigan,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
drexel,0.998109640831758,0.9429657794676806,66.0,66.125
duke,0.6351397997928893,1.126005361930295,46.0,72.425
boston-university,1.1816838995568686,0.9044493070751277,80.0,67.7
rutgers,0.528828497980169,0.9025787965616047,36.0,68.075

green-bay,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
indiana-state,0.9060299969390879,0.9440242057488654,74.0,81.675
iowa,0.9579439252336449,1.089311859443631,82.0,85.6
eastern-washington,0.9455174401844912,0.8942390369733448,82.0,86.725
morehead-state,1.2223393045310853,0.9790209790209791,87.0,71.175

bowling-green-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
st-johns-ny,1.0217113665389528,1.0579345088161207,80.0,78.3
virginia-commonwealth,0.794012365766352,0.9561752988047809,61.0,76.825
north-carolina-central,1.1705033164260632,0.9327633113097551,75.0,64.075
hampton,1.0175879396984926,1.026974325641859,81.0,79.6

vermont,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
boston-university,1.123110151187905,0.9713322091062394,78.0,69.45
kansas,0.9567358424199789,1.1389830508474577,68.0,71.075
louisville,1.1813706929193486,1.2343021169716542,78.0,66.025

coastal-carolina,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
campbell,1.178101178101178,1.0186757215619695,85.0,72.15
tulane,0.9825468648998061,1.049222797927461,76.0,77.35
manhattan,0.8135072908672294,0.8553654743390358,53.0,65.15
north-carolina-asheville,1.1428571428571428,0.8055770720371805,78.0,68.25
northern-kentucky,1.1472011057360056,1.2628591699184109,83.0,72.35

central-michigan,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
chicago-state,1.2577833125778333,0.7432641684732115,101.0,80.3
cal-state-bakersfield,0.9537366548042705,0.7596685082872927,67.0,70.25
weber-state,1.0072895957587806,1.0022486347574686,76.0,75.45
san-jose-state,1.0868787987129067,1.0655147588192944,76.0,69.925

north-carolina-central,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
clemson,0.6974358974358974,1.0927279722970373,51.0,73.125
cincinnati,0.868824531516184,1.1459968602825745,51.0,58.7
bowling-green-state,0.9327633113097551,1.1705033164260632,60.0,64.325

dartmouth,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
davidson,1.121771217712177,1.096080471730836,76.0,67.75
loyola-md,1.2438376943496399,1.118881118881119,82.0,65.925

james-madison,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
east-carolina,0.8840448077505297,0.8850645359557469,73.0,82.575
charlotte,0.9857527916827109,0.9570154095701541,64.0,64.925

charleston-southern,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
florida,0.6131289570143285,1.0943124550035996,46.0,75.025
south-carolina-state,1.1745298581326293,0.93354943273906,89.0,75.775
middle-tennessee,0.9278678106132825,0.9905506679700229,73.0,78.675

american,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
george-mason,1.0058027079303675,0.9689922480620154,78.0,77.55
northwestern,0.738327904451683,0.9347181008902077,51.0,69.075
new-hampshire,1.0153042179917882,0.6480117820324005,68.0,66.975

lamar,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
georgia-tech,0.8148804251550045,1.100343857455455,69.0,84.675
east-carolina,0.9122807017543859,1.0357583230579532,78.0,85.5
prairie-view,1.0463061152350654,0.8975217682518418,74.0,70.725

georgia-tech,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
lamar,1.100343857455455,0.8148804251550045,88.0,79.975
tennessee,0.7164582629266645,0.9843400447427294,53.0,73.975
east-carolina,1.0276422764227642,0.7010710808179162,79.0,76.875

harvard,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
northeastern,1.0652663165791447,1.183345507669832,71.0,66.65
massachusetts,1.1094452773613193,1.0422018348623854,74.0,66.7
rhode-island,1.0552584670231728,1.055922195206669,74.0,70.125

hofstra,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
mount-st-marys,1.0740992522093815,0.8463406174124176,79.0,73.55
marshall,0.9470568891811904,1.031907671418873,72.0,76.025
north-carolina-at,1.2382234185733514,1.0568807339449542,92.0,74.3
maryland,1.069767441860465,1.1909192407889841,69.0,64.5

southern-illinois,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
kentucky,0.858806404657933,1.046811647622558,59.0,68.7
buffalo,0.7714701601164483,0.9582689335394127,53.0,68.7
arkansas-pine-bluff,1.0974322898346816,0.6997084548104957,78.0,71.075
howard,1.1269517990495586,0.9410160245482441,83.0,73.65

brown,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
long-island-university,1.0159924741298214,0.94211123723042,81.0,79.725
njit,0.8453680873547025,0.945945945945946,60.0,70.975
massachusetts-lowell,0.9460628785693683,0.8912978018669075,82.0,86.675
sacred-heart,1.1432554897176717,1.0558793280767913,82.0,71.725
army,1.1286089238845145,0.8431810923027786,86.0,76.2

long-island-university,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
brown,0.94211123723042,1.0159924741298214,83.0,88.1
fairfield,1.2275862068965517,1.2257837266643186,89.0,72.5
san-francisco,0.6970509383378016,1.1196267910696434,52.0,74.6

new-hampshire,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
massachusetts,0.9871668311944719,1.3471502590673574,75.0,75.975
american,0.6480117820324005,1.0153042179917882,44.0,67.9

miami-fl,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
lehigh,1.0751295336787565,0.7951266431548574,83.0,77.2
stephen-f-austin,1.3803019410496047,0.8488840102451518,96.0,69.55
bethune-cookman,1.0209424083769634,1.0119262739428985,78.0,76.4

austin-peay,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
mississippi-state,0.8891838088918381,1.2094207511139403,67.0,75.35
south-florida,0.8631319358816277,0.9082540656643143,70.0,81.1
central-connecticut-state,1.21166224914805,1.1138878971795787,80.0,66.025
campbell,1.0465116279069768,1.0814558058925476,72.0,68.8

mississippi-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
austin-peay,1.2094207511139403,0.8891838088918381,95.0,78.55
hartford,1.1445559271646226,0.8776496838973596,77.0,67.275
long-beach-state,1.0456651224354732,0.6788685524126455,79.0,75.55
arizona-state,0.9469964664310954,1.065877128053294,67.0,70.75

northern-kentucky,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
northern-illinois,1.1024115252114,0.9667330110889963,88.0,79.825
north-carolina-asheville,1.0430071114121233,0.6837606837606838,77.0,73.825
manhattan,0.9190031152647975,0.7969924812030075,59.0,64.2
coastal-carolina,1.2628591699184109,1.1472011057360056,89.0,70.475

northern-illinois,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
northern-kentucky,0.9667330110889963,1.1024115252114,85.0,87.925

toledo,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
oakland,1.281767955801105,1.2850205453866268,87.0,67.875
wright-state,0.9203980099502487,1.058601134215501,74.0,80.4
florida-gulf-coast,1.2430939226519335,0.8516483516483517,90.0,72.4

oakland,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
toledo,1.2850205453866268,1.281767955801105,86.0,66.925
western-michigan,0.901639344262295,1.0340632603406326,77.0,85.4
nevada-las-vegas,0.9114680612626075,1.152199299338264,61.0,66.925

penn-state,
