saint-francis-pa,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
north-carolina-asheville,0.9383145091225022,0.7231208372978116,54.0,57.55

tennessee-tech,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
memphis,0.7646505797555625,0.9356725146198831,61.0,79.775
presbyterian,0.9043478260869565,1.106883431338637,65.0,71.875
savannah-state,0.8711624245604828,1.0018073844564936,83.0,95.275
north-carolina,0.6973249173429517,1.295740851829634,58.0,83.175
michigan-state,0.47636232407073253,1.3921433494141973,33.0,69.275

memphis,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
tennessee-tech,0.9356725146198831,0.7646505797555625,76.0,81.225
louisiana-state,0.9806451612903225,1.187150837988827,76.0,77.5
yale,1.105476673427992,1.0121557926072935,109.0,98.6

norfolk-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
michigan,0.6177606177606179,0.8777429467084639,44.0,71.225
south-carolina,0.9215262778977681,1.0949645150388645,64.0,69.45
siena,0.9555189456342669,1.0170904543559816,58.0,60.7
stony-brook,0.9213323883770376,0.995850622406639,65.0,70.55

michigan,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
norfolk-state,0.8777429467084639,0.6177606177606179,63.0,71.775
holy-cross,0.889241762604208,0.6023606023606024,56.0,62.975
villanova,1.1401796173369776,0.6972338006820766,73.0,64.025
george-washington,1.2134344528710728,0.8609738884968243,84.0,69.225
providence,1.056,0.7175572519083969,66.0,62.5

nebraska-omaha,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
minnesota,0.9611128675308251,1.3012198936502972,76.0,79.075
northern-arizona,0.8949152542372881,0.9934640522875817,66.0,73.75
colorado,1.0460251046025104,1.083304765169695,75.0,71.7

minnesota,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
nebraska-omaha,1.3012198936502972,0.9611128675308251,104.0,79.925
utah,1.137855579868709,0.9321175278622087,78.0,68.55
texas-am,0.9299191374663073,0.9394495412844037,69.0,74.2

central-arkansas,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
missouri,0.766016713091922,0.9553916403231472,55.0,71.8
pittsburgh,0.885562831306517,1.2337042925278219,71.0,80.175
troy,1.0249584026622296,1.1325966850828728,77.0,75.125

missouri,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
central-arkansas,0.9553916403231472,0.766016713091922,68.0,71.175
iowa-state,0.8185917447103711,1.0915619389587075,59.0,72.075
kennesaw-state,0.8661417322834646,0.7698001480384901,55.0,63.5
oregon-state,1.0252600297176822,0.917698470502549,69.0,67.3
kansas-state,1.0464662241311986,1.2581511315688532,67.0,64.025

oral-roberts,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
missouri-state,0.6365372374283896,1.103448275862069,50.0,78.55
texas-christian,0.8316566063044937,1.0604026845637584,62.0,74.55
california-baptist,0.9517241379310345,1.0218978102189782,69.0,72.5
brigham-young,0.797057020232986,1.0578718108276293,65.0,81.55

missouri-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
oral-roberts,1.103448275862069,0.6365372374283896,84.0,76.125
robert-morris,0.9698558322411533,0.7643312101910829,74.0,76.3
stetson,1.0368519675202998,0.8218373936014088,83.0,80.05
nebraska,0.8578346592874437,1.187150837988827,62.0,72.275

lehigh,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
monmouth,1.0641627543035994,0.7587064676616915,85.0,79.875
miami-fl,0.7951266431548574,1.0751295336787565,62.0,77.975
marist,1.118279569892473,1.0048848569434752,78.0,69.75
princeton,0.9924190213645762,0.7983193277310924,72.0,72.55

monmouth,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
lehigh,0.7587064676616915,1.0641627543035994,61.0,80.4
colgate,0.9573091849935317,1.125485122897801,74.0,77.3
saint-josephs,0.9312638580931263,1.1071682044002837,63.0,67.65
west-virginia,0.8021188043889519,0.965001698946653,53.0,66.075
valparaiso,0.864953080375357,0.9527353926311872,53.0,61.275
cal-state-fullerton,0.7520143240823635,1.084788029925187,63.0,83.775

mississippi-valley-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
nebraska,0.4648241206030151,1.3695090439276485,37.0,79.6
texas-tech,0.8150470219435737,1.2928049249711429,52.0,63.8
utah-state,0.7799074686054196,1.3290915517850832,59.0,75.65
utah,0.8327825512227363,1.2971542025148908,63.0,75.65
robert-morris,0.8208695652173913,1.0518174787316317,59.0,71.875

nebraska,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
mississippi-valley-state,1.3695090439276485,0.4648241206030151,106.0,77.4
southeastern-louisiana,1.1685695097380793,0.45513654096228867,87.0,74.45
seton-hall,1.145721446473326,0.7972027972027972,80.0,69.825
missouri-state,1.187150837988827,0.8578346592874437,85.0,71.6

boston-university,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
northeastern,1.1415863602668643,1.0662824207492794,77.0,67.45
vermont,0.9713322091062394,1.123110151187905,72.0,74.125
albany-ny,1.1229735073151443,0.9320091673032849,71.0,63.225
eastern-michigan,0.9044493070751277,1.1816838995568686,62.0,68.55

northeastern,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
boston-university,1.0662824207492794,1.1415863602668643,74.0,69.4
harvard,1.183345507669832,1.0652663165791447,81.0,68.45
alabama,1.1319184352892218,0.879492600422833,68.0,60.075
virginia-tech,1.0204081632653061,1.377151799687011,60.0,58.8
davidson,0.889558989822842,1.0286128214415067,59.0,66.325

southeast-missouri-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
saint-louis,0.8813559322033898,0.9910802775024777,65.0,73.75
bradley,0.7821612349914236,0.9970674486803519,57.0,72.875
jacksonville,1.0198675496688743,0.9546218487394958,77.0,75.5
chattanooga,0.8904593639575972,0.610909090909091,63.0,70.75
south-alabama,0.8100558659217878,1.097603334491143,58.0,71.6

saint-louis,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
southeast-missouri-state,0.9910802775024777,0.8813559322033898,75.0,75.675
troy,0.9411764705882353,0.8270944741532977,62.0,65.875
north-alabama,1.0025426807119506,0.7942485450188291,69.0,68.825
seton-hall,0.9134948096885813,0.8680908782638183,66.0,72.25

grand-canyon,
